#jānapada vastukośa, a dictionary of objects used in rural Karnataka. Data as scraped from Bharatavani.in

ಕ್ವಿಂಟಾಲ್ ಬುಟ್ಟಿ/ಗೂಡೆ,"ಜೋಳ, ರಾಗಿ, ಭತ್ತ, ಮುಂತಾದ ದವಸ ಧಾನ್ಯಗಳನ್ನು ತುಂಬಿಡಲು ಇದನ್ನು ಬಳಸುತ್ತಾರೆ. ಸುಮಾರು ಎರಡೂವರೆ ಅಡಿ ಅಗಲವಿದ್ದು ಸುಮಾರು ಒಂದೂವರೆ ಅಡಿ ಎತ್ತರವಿದೆ. ತಳಭಾಗವು ಸಮತಟ್ಟಾಗಿದ್ದು ಒಂದೂವರೆ ಅಡಿ ವ್ಯಾಸವಿದೆ. ಈ ಬುಟ್ಟಿಯನ್ನು ಬಿದಿರನ ಸೀಳುಗಳಿಂದ ಹೆಣೆಯಲಾಗಿದ್ದು ಇದಕ್ಕೆ ಹತ್ತಿ ಬಟ್ಟೆಯನ್ನು ಸುಟ್ಟು ಗೇರು ಎಣ್ಣೆಯಲ್ಲಿ ಮಿಶ್ರಣಮಾಡಿ ಸವರಿರುತ್ತಾರೆ. ಇದು ಬುಟ್ಟಿಗಳಲ್ಲಿಯೇ ಅತ್ಯಂತ ದೊಡ್ಡದು. ಈ ಬುಟ್ಟಿಯಲ್ಲಿ ಸುಮಾರು ಒಂದು ಕ್ವಿಂಟಾಲ್ ಧಾನ್ಯಗಳನ್ನು ಸಂಗ್ರಹಿಸಬಹುದು. ಇದನ್ನು ರೈತರು ಕ್ವಿಂಟಾಲ್ ಬುಟ್ಟಿ ಎಂದೇ ಕರೆಯುತ್ತಾರೆ. ಈ ಬುಟ್ಟಿಯನ್ನು ಕಣದಲ್ಲಿನ ಕಾಳುಗಳನ್ನು ಮನೆಗೆ ತಂದು ಹಾಕುವುದಕ್ಕೂ ಹೊಲದಲ್ಲಿ ಜೋಳ, ಸಜ್ಜೆ, ತೆನೆಗಳನ್ನು ಹೊತ್ತು ಹಾಕುವುದಕ್ಕೂ ಬಳಸುತ್ತಾರೆ. ಭತ್ತವನ್ನು ಅಕ್ಕಿಮಾಡಿಸಲು ಗಿರಣಿಗೆ ಹೊತ್ತುಕೊಂಡು ಹೋಗಲು ಕೂಡ ಬಳಸುತ್ತಾರೆ."
ಗಂಡುಗೊಡಲಿ,"ಮಾರಿಹಬ್ಬದ ಸಂದರ್ಭದಲ್ಲಿ ಮಾರಿದೇವತೆಗೆ ಪ್ರಾಣಿಬಲಿ ಕೊಡಲು ಬಳಕೆಯಾಗುವ ಆಯುಧ. ಇದು ಅರ್ಧ ಚಂದ್ರಾಕೃತಿಯಲ್ಲಿದ್ದು ಅದರ ಎರಡು ತುದಿಯಲ್ಲಿ ಚಿಕ್ಕ ಗುಂಡುಗಳ ರೀತಿಯಲ್ಲಿ ರಚನೆ ಮಾಡಿರುತ್ತಾರೆ. ಅರ್ಧ ಚಂದ್ರಾಕೃತಿಯುಳ್ಳ ಕೊಡಲಿಯ ಮಧ್ಯಭಾಗವು ಸುಮಾರು ಎರಡೂವರೆಯಿಂದ ಮೂರು ಇಂಚು ಅಗಲವಿರುತ್ತದೆ, ಇಲ್ಲಿ ಹಿಡಿ ಹಾಕುವ ವ್ಯವಸ್ಥೆ ಇರುತ್ತದೆ. ಎರಡೂ ತುದಿಗಳ ಅಗಲ ಕಡಿಮೆ. ಸು. ಮೂರೂವರೆಯಿಂದ ನಾಲ್ಕು ಅಡಿ ಉದ್ದದ ಬಿದಿರಿನ ಅಥವಾ ಮರದ ಹಿಡಿ ಹಾಕಿರುತ್ತಾರೆ. ಗ್ರಾಮದೇವತೆ ಹಬ್ಬದ ಸಂದರ್ಭದಲ್ಲಿ ಗ್ರಾಮದೇವಿಗೆ ಬಂದ ಹರಕೆ ಕುರಿಮರಿ, ಕುರಿ, ಮೇಕೆ, ಕೋಣ ಮುಂತಾದುವನ್ನು ಕಡಿಯಲು ಇದನ್ನು ಬಳಸುತ್ತಾರೆ. ಅಲ್ಲದೆ ಪ್ರತಿವರ್ಷ ಮಾರಿಹಬ್ಬದಲ್ಲಿ ಮಾರೆಮ್ಮ ದೇವಿಗೆ ಪ್ರಾಣಿಗಳನ್ನು ಬಲಿನೀಡುವಾಗ ಅವನ್ನು ಇದರಿಂದ ಕತ್ತರಿಸುತ್ತಾರೆ (ಈಗ ಪ್ರಾಣಿಬಲಿ ನಿಷಿದ್ಧವಾಗಿದೆ). ಮಹಾನವಮಿ ಹಬ್ಬದ ಸಂದರ್ಭದಲ್ಲಿ ಆಯುಧ ಪೂಜೆ ಮಾಡುವಾಗಲೂ ಇದು ಒಳಪಡುತ್ತದೆ. ಹಿಂದೆ ಕಳ್ಳಕಾಕರಿಂದ ಊರನ್ನು ರಕ್ಷಿಸಿದವರಿಗೆ ಈ ಆಯುಧವನ್ನು ಬಹುಮಾನವಾಗಿ ನೀಡುತ್ತಿದ್ದರು."
ಗಣ್ಣೊ,ಲಂಬಾಣಿ ಮಹಿಳೆಯರು ಮದುವೆ ಸಂದರ್ಭದಲ್ಲಿ ಬಳಸುವ ವಸ್ತ್ರ. ಇದು ಚೌಕಾಕಾರದಿಂದ ಕೂಡಿದ್ದು ಎಂಟು ಇಂಚು ಉದ್ದ- ಅಗಲವಿದೆ. ಲಮಾಣಿ ಮಹಿಳೆ ಲಗ್ನವಾದ ನಂತರ ಗಂಡನ ಮನೆಗೆ ಬಂದಾಗ ನೀರು/ಗಂಗೆ ತರುವ ಆಚರಣೆಯಲ್ಲಿ ಕೊಡ ಹೊತ್ತು ತರುವಾಗ ತಲೆಯ ಮೇಲಿನ ಸಿಂಬೆಗೆ ಅಲಂಕಾರಯುತವಾಗಿ ನೇತಾಡಿಸುವುದಕ್ಕೆ ಬಳಸುವ ವಸ್ತ್ರ. ಇದನ್ನು ನಾನಾ ಬಣ್ಣದ ದಾರಗಳನ್ನು ಬಳಸಿ ಕಸೂತಿಹಾಕಿ ಸಮುದಾಯದ ಮಹಿಳೆಯರೇ ತಯಾರಿಸುತ್ತಾರೆ.
ಗಂಧ ತೇಯುವ ಕಲ್ಲು/ಸಾಣೆಕಲ್ಲು,"ಶ್ರೀಗಂಧ, ಚಂದನ, ಔಷಧದ ಬೇರು-ನಾರು, ಬಜೆ, ಗೋರಂಧ ಮುಂತಾದವುಗಳನ್ನು ತೇಯಲು ಬಳಸುತ್ತಾರೆ. ಚಿಕ್ಕ ಮಕ್ಕಳಿಗೆ ಗದ್ದಕಟ್ಟು(ಕೆನ್ನೆಬಾವು/ಕೆಪ್ಪಟ್ರಾಯ) ಆದಾಗ ನಾಮದಂಡೆಯನ್ನು ತೇಯಲು ಬಳಸುತ್ತಾರೆ. ಇದನ್ನು ವಿಶಿಷ್ಟವಾದ ಬಳಪದ ಕಲ್ಲಿನಿಂದ ತಯಾರಿಸಿದೆ. ಇದರ ಮೇಲೆ ತೇಯ್ದ ಔಷಧವನ್ನು ಕುಡಿಸುವುದರಿಂದ ಮಕ್ಕಳು ಬೇಗ ಆರೋಗ್ಯವಂತರಾಗುತ್ತಾರೆ ಎಂಬ ನಂಬಿಕೆ ಜನಪದರದು. ಈ ವಸ್ತುವು ಸುಮಾರು ಒಂದು ಅಡಿ ವ್ಯಾಸವಿದ್ದು ವೃತ್ತಾಕಾರದಲ್ಲಿರುತ್ತದೆ. ಇದರ ಮಧ್ಯಭಾಗವು ಸ್ವಲ್ಪ ತಗ್ಗಾಗಿರುತ್ತದೆ. ನೆಲದಲ್ಲಿಟ್ಟರೆ ಅಲುಗಾಡದಂತೆ ಅದರ ತಳವು ವಿನ್ಯಾಸಗೊಂಡಿದೆ. ಇವುಗಳ ಗಾತ್ರದಲ್ಲಿ ವ್ಯತ್ಯಾಸವಿರುತ್ತವ. ಕಲ್ಲಿನಲ್ಲಿ ಗಂಧತೇಯುವ ಘಟ್ಟಿವಳ್ತಿಯರ ಕುರಿತಾಗಿ ಹಳೆಯ ಕಾವ್ಯಗಳು ವಿವರಗಳನ್ನು ಕೊಡುತ್ತವೆ."
ಗಾಜಿನ ಸೀಸೆ,"ಮನೆಗಳಲ್ಲಿ ಅಲಂಕಾರಕ್ಕಾಗಿ ಇಡಲು ಬಳಸುವ ಒಂದು ವಿಶೇಷ ಸಾಧನ. ಈ ಸೀಸೆಯು ಸುಮಾರು ಒಂದು ಅಡಿ ಎತ್ತರವಿದೆ. ಸುಮಾರು ಮೂರು ಇಂಚು ಅಗಲವಿದೆ. ಇದರ ಕಂಠವು ಸುಮಾರು ಎರಡು ಇಂಚು ಎತ್ತರವಿದ್ದು ಸುಮಾರು ಒಂದು ಇಂಚು ವ್ಯಾಸವಿದೆ. ಇದರ ಮೇಲ್ಭಾಗದಲ್ಲಿ ಗೋಡೆಗೆ ನೇತುಹಾಕಲು ಒಂದು ಕಬ್ಬಿಣದ ಕೊಂಡಿ ಇದೆ. ವಿಶೇಷವೆಂದರೆ ಈ ಸೀಸೆಯ ಒಳಗಡೆ ಮುತ್ತು ಮಣಿಗಳು, ಉಲ್ಲನ್ ದಾರ ಮತ್ತು ಪ್ಲಾಸ್ಟಿಕ್‌ನಿಂದ ಹೆಣೆದ ನಾಲ್ಕು ಕಂಬಗಳಿದ್ದು ಮಂಚದ ಆಕೃತಿಯಲ್ಲಿದೆ. ಮಂಚದ ಮೇಲೆ ತಾಯಿ ಮತ್ತು ಮಗು ಮಲಗಿರುವ ಗೊಂಬೆಗಳಿವೆ. ಇಳಿಬಿಟ್ಟಿರುವ ಬಲ್ಬಿನಂತೆ ಇರುವ ಒಂದು ದೊಡ್ಡ ಮುತ್ತನ್ನು ನೇತುಹಾಕಲಾಗಿದೆ. ಒಟ್ಟಾರೆ ಅಲಂಕಾರದ ಸೀಸೆಯು ನೋಡಲು ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ ಮತ್ತು ವಿಸ್ಮಯಕಾರಿಯಾಗಿದೆ. ಇದನ್ನು ಮನೆಯ ಗೋಡೆ ಅಥವಾ ಬೆಂಚಿನ ಮೇಲೆ ಇಡುವ ಕ್ರಮವು ರೂಢಿಯಲ್ಲಿದೆ. ಆಲಂಕಾರಿಕ ಗಾಜಿನ ಸೀಸೆಗಳಲ್ಲಿ ವಿವಿಧ ಬಗೆಗಳಿರುತ್ತವೆ. ಇವುಗಳನ್ನು ಕುಶಲತೆಯಿಂದ ಹೆಣೆದಿದ್ದಾರೆ."
ಗಾರೆ ಉಜ್ಜುವ ಮಣೆ/ಕತ್ತಿ/ತ್ಯಾಪೆ/ಕರ್ಣಿ,"ಕಟ್ಟಡ ನಿರ್ಮಾಣ ಮಾಡುವಾಗ ಸಿಮೆಂಟನ್ನು ಗೋಡೆಗೆ ಲೇಪಿಸಲು ಹಾಗೂ ನಯಗೊಳಿಸಲು ಬಳಸುವ ಸಲಕರಣೆ. ಸಾಮಾನ್ಯವಾಗಿ ಪುರಾತನ ಕಾಲದಿಂದಲೂ ಮಣ್ಣನ್ನು ನಯಗೊಳಿಸಲು ಈ ಉಪಕರಣ ವಿವಿಧ ರೂಪಗಳಲ್ಲಿ ಬಳಕೆಯಾಗುತ್ತಿತ್ತು. ಅರಳಿ ಎಲೆ ಆಕಾರದಲ್ಲಿದ್ದು ಆರು ಇಂಚು ಉದ್ದ, ತಳದಲ್ಲಿ ನಾಲ್ಕು ಇಂಚು ಅಗಲವಿದೆ. ತ್ಯಾಪಿ ನಾನಾ ಗಾತ್ರಗಳಲ್ಲಿರುತ್ತವೆ. ಮರ ಹಾಗೂ ಕಬ್ಬಿಣದಿಂದ ಮಾಡಿದ ತ್ಯಾಪಿಗಳಿವೆ. ಕಬ್ಬಿಣದಿಂದ ತಯಾರಿಸಿದ ತ್ಯಾಪಿಯ ಹಿಡಿಕೆಯನ್ನು ಮರದಿಂದ ಮಾಡಲಾಗಿದೆ."
ಗಾರೆ ತಿಕ್ಕುವ ಕಲ್ಲು/ಬೆಣ್ಣಕಲ್ಲು,"ಮನೆಗಳಲ್ಲಿ ನೆಲವನ್ನು ಸಮತಟ್ಟಾಗಿಯೂ ಹೊಳೆಯುವಂತೆಯೂ ತಿಕ್ಕಲು ಬಳಸುವ ಕಲ್ಲು. ಈ ಕಲ್ಲನ್ನು ಸಮುದ್ರ, ನದಿ, ಹೊಳೆಗಳ ದಡದಲ್ಲಿ ಆಯ್ದು ತರುತ್ತಾರೆ. ಇದು ಬೆಣ್ಣೆಯಂತೆ ನಯವಾಗಿರುವುದರಿಂದ ಇದಕ್ಕೆ ಬೆಣ್ಣೆಕಲ್ಲು ಎಂತಲೂ ಕರೆಯುತ್ತಾರೆ. ಮನೆಗಳಲ್ಲಿ ಗೊಡೆ ಅಥವಾ ನೆಲ ಅಲ್ಲಲ್ಲಿ ಹೊಡೆದುಹೋದಾಗ ಆ ಜಾಗದಲ್ಲಿ ಅದಕ್ಕೆ ಗಾರೆ ಕಲಸಿ ಮೆತ್ತಿದ ನಂತರ ಅದರ ಮೇಲೆ ಸ್ವಲ್ಪ ಸಿಮೆಂಟ್ ಹಾಕಿ ಗಾರೆ ತಿಕ್ಕುವ ಕಲ್ಲಿನಿಂದ ಚೆನ್ನಾಗಿ ತಿಕ್ಕಿ ನಯಗೊಳಿಸುತ್ತಾರೆ. ಸಿಮೆಂಟು ಬಳಕೆಗೆ ಬರುವ ಮೊದಲು ಸುಣ್ಣದ ಗಾರೆಯನ್ನು ಗೋಡೆ/ನೆಲಕ್ಕೆ ಹಾಕಿಕೊಳ್ಳುತ್ತಿದ್ದ ಸಂದರ್ಭದಲ್ಲಿ ಹೆಚ್ಚು ಬಳಕೆಯಲ್ಲಿತ್ತು. ಮರಳು ಸುಣ್ಣ ಮಿಶ್ರಣ ಮಾಡಿ ಈ ಗಾರೆ ತಿಕ್ಕುವ ಕಲ್ಲಿನಿಂದ ಚೆನ್ನಾಗಿ ತಿಕ್ಕಿ ನಯಗೊಳಿಸುತ್ತಿದ್ದರು."
ಗುಗ್ಗುಳ ಕೊಡ,"ವೀರಭದ್ರ ದೇವರಿಗೆ ಲಿಂಗಾಯತ ಸಮುದಾಯದವರು ಗುಗ್ಗಳ ಆಚರಣೆ ಮಾಡುವ ಸಂದರ್ಭದಲ್ಲಿ ಈ ಕೊಡವನ್ನು ಅಡಿ ಮೇಲಾಗಿ ಹೊತ್ತೊಯ್ಯತ್ತಾರೆ. ಕೊಡದಲ್ಲಿ ಎಣ್ಣೆ, ಸಿಂಬೆ, ಹತ್ತಿಯ ಬತ್ತಿ ಮುಂತಾದವನ್ನು ಇಟ್ಟುಕೊಂಡು ಹೊತ್ತೊಯ್ಯತ್ತಾರೆ. ಇದು ಒಂದು ಅರ್ಧಕೊಡದ ರಚನೆ. ಇದರ ಮೇಲಿನ ಅಂಚಿನ ಸುತ್ತ ಚಿತ್ತಾರಗಳನ್ನು ಬಿಡಿಸಿದ್ದಾರೆ. ನಾಲ್ಕು ಬದಿಗಳಲ್ಲೂ ನಿಂಬೆ ಹಣ್ಣುಗಳನ್ನು ದಾರದಿಂದ ಪೋಣಿಸಿ ಜೋತಾಡಿಸಲು ಅನುಕೂಲವಾಗುವಂತೆ ಪುಟ್ಟ ರಂಧ್ರಗಳುಳ್ಳ ರಚನೆಗಳು ಇರುತ್ತವೆ. ಇದು ಸುಮಾರು ಹನ್ನೆರಡರಿಂದ ಹದಿನೈದು ಇಂಚುಗಳಷ್ಟು ವ್ಯಾಸವುಳ್ಳದ್ದಾಗಿದೆ. ಅರ್ಧಕೊಡವಾಗಿರುವುದರಿಂದ ಮಧ್ಯದಲ್ಲಿ ತಗ್ಗಾಗಿದ್ದು ವಸ್ತುಗಳನ್ನು ಇಲ್ಲಿ ಇಟ್ಟಿಕೊಳ್ಳುವುದಕ್ಕೆ ಅನುಕೂಲಕರವಾಗಿದೆ. ಕೊಡದ ಬಾಯಿಯನ್ನು ತಲೆಯ ಮೇಲೆ ಕೂರಿಸಿ ಕೊಡವನ್ನು ಹೊರುತ್ತಾರೆ. ಕೊಡವನ್ನು ಆವೆ ಮಣ್ಣಿನಿಂದ ತಯಾರಿಸಲಾಗಿದೆ."
ಗುಂಗ್ಟೋ,"ಲಂಬಾಣಿ ಮಹಿಳೆಯರು ತಮ್ಮ ತಲೆ/ಹಣೆಯಲ್ಲಿ ಅಲಂಕಾರಕ್ಕೆ ಬಳಸುವ ಆಭರಣ. ಇದು ಸುಮಾರು ಇಪ್ಪತ್ತೇಳು ಇಂಚು ಉದ್ದ, ಎರಡು ಇಂಚು ಅಗಲದ ರಚನೆ. ಇದರ ತುದಿಗಳು ಹಾಗೂ ಮಧ್ಯಭಾಗದಲ್ಲಿ ರಿಬ್ಬನ್ನಿನ ಹೂಗಳನ್ನು ಜೋಡಿಸಲಾಗುತ್ತದೆ. ನಡುಪಟ್ಟಿಯ ಮೇಲೆ ಕನ್ನಡಿಯನ್ನು ಲಗತ್ತಿಸಿದ ಕೈವಸ್ತ್ರದ ಪಟ್ಟಿಗಳಿರುತ್ತವೆ. ಇದನ್ನು ಸೀರೆಯ ಸೆರಗಿಗೆ ಜೋಡಿಸಲಾಗಿದೆ. ಲಂಬಾಣಿ ಸಮುದಾಯದ ಮಹಿಳೆಯರು ಹಬ್ಬ ಹರಿದಿನಗಳಲ್ಲಿ ಗುಂಗ್ಟೋ ಸಹಿತವಾದ ಉಡುಪನ್ನು ಧರಿಸುತ್ತಾರೆ. ಇದನ್ನು ಸ್ವತಃ ಅದೇ ಸಮುದಾಯದ ಹೆಣ್ಣುಮಕ್ಕಳು ವಿವಿಧ ಬಣ್ಣದ ಬಟ್ಟೆ, ದಾರ, ಕನ್ನಡಿ ಚೂರುಗಳನ್ನು ಅಳವಡಿಸಿಕೊಂಡು ಹೆಣೆದು ತಯಾರಿಸುತ್ತಾರೆ."
ಗುದ್ದಿ,"ಎತ್ತಿನಗಾಡಿ(ಟ್ರಾಕ್ಟರ್)ಗಳಲ್ಲಿ ಜೋಳದ ಪೈರು, ಭತ್ತ/ನವಣೆ/ರಾಗಿ-ಇವುಗಳ ಪೈರು ಅಥವಾ ಹುಲ್ಲು, ಹತ್ತಿ, ತೊಗರಿ ಮುಂತಾದವುಗಳ ದಂಟು/ಸೊಪ್ಪು ಮುಂತಾದುವನ್ನು ಸಾಗಾಣಿಕೆ ಮಾಡುವ ಸಂದರ್ಭದಲ್ಲಿ ಅವುಗಳನ್ನು ಬಿಗಿಯಾಗಿ ಕಟ್ಟಲು ನೆರವಾಗುವ ಒಂದು ಉಪಕರಣ. ಗುದ್ದಿಗಳಲ್ಲಿ ನಾನಾ ಪ್ರಕಾರಗಳಿವೆ. ಒಂದು ಮನೆ(ರಂಧ್ರ) ಗುದ್ದಿ, ಎರಡು ಮನೆಗುದ್ದಿ, ಮೂರು ಮನೆಗುದ್ದಿ ಮುಂತಾದವುಗಳು ಬಳಕೆಯಾಗುತ್ತವೆ. ಇವುಗಳ ಅಂಚಿನಲ್ಲಿ ಹಗ್ಗವನ್ನು ತೂರಿಸಿ ಹಗ್ಗವನ್ನು ಎಳೆದಾಗ ಹಗ್ಗವು ಬಿಗಿಯಾಗುತ್ತದೆ. ಉದ್ದನೆಯ ಆಕಾರದಲ್ಲೂ ಗುದ್ದಿಗಳಿದ್ದು ಅವುಗಳ ಎರಡು ತುದಿಗಳಲ್ಲೂ ರಂಧ್ರಗಳಿರುತ್ತವೆ. ಆಕಾರ ಯಾವುದಿದ್ದರೂ ಉಪಯೋಗವು ಒಂದೇ ಉದ್ದೇಶದ್ದಾಗಿದೆ. ಗುದ್ದಿಗಳನ್ನು ಸಾಗುವಾನಿ, ಜಾಲಿ, ಹುಣಸೆ, ಮುಂತಾದ ಮರಗಳಿಂದ ತಯಾರಿಸಲಾಗುತ್ತದೆ."
ಗುಲ್ಲು,"ಜಾನುವಾರುಗಳಿಗೆ ಬರೆ ಹಾಕಲು ಬಳಸುವ ಸರಳು. ಇದು ಸುಮಾರು ಎರಡು ಅಡಿ ಉದ್ದವಿದ್ದು ತುದಿಯು S ಆಕಾರದಲ್ಲಿ ವಿನ್ಯಾಸಗೊಂಡಿರುತ್ತದೆ. ಸರಳು ಕಿರುಬೆರಳ ಗಾತ್ರ ದಪ್ಪ. ವಿಶೇಷವಾಗಿ ದೀಪಾವಳಿಯ ಅಮಾವಾಸ್ಯೆಯಂದು ಬರುವ ಹಟ್ಟಿಹಬ್ಬದ ಸಂದರ್ಭದಲ್ಲಿ ಎತ್ತು, ದನ, ಕರುಗಳಿಗೆ ಇದನ್ನು ಕಾಯಿಸಿ ಬರೆ ಹಾಕಲಾಗುತ್ತದೆ. ಬರೆಹಾಕುವುದರಿಂದ ಎತ್ತು ಮತ್ತು ಈದ ಹಸುಗಳಿಗೆ ಬರುವ ಚಪ್ಪೆಬೇನೆಯು ನಿವಾರಣೆಯಾಗುತ್ತದೆ ಎನ್ನುವುದು ಜನಪದ ಅನುಭವ. ಹಾಗೂ ರೋಗ ತಡೆಗಟ್ಟುವ ಮುಂಜಾಗ್ರತಾ ಕ್ರಮವಾಗಿಯೂ ಈ ಸರಳಿನಿಂದ ಬರೆ ಹಾಕಲಾಗುತ್ತದೆ."
ಗುಳಬುಟ್ಟಿ,"ಮನೆಗಳಲ್ಲಿ ಸಣ್ಣಗಾತ್ರದ ತರಕಾರಿ, ಕಾಳುಗಳು, ಕರಿದ ತಿಂಡಿ ಮುಂತಾದುವನ್ನು ಇರಿಸಿಕೊಳ್ಳಲು ಬಳಸುವ ಪುಟ್ಟ ಬುಟ್ಟಿ. ಇದು ಇತರ ಬುಟ್ಟಿಗಳಿಗಿಂತ ಗಾತ್ರದಲ್ಲಿ ಕುಳ್ಳಗೆ ಇರುವುದರಿಂದ ಇದಕ್ಕೆ ಗುಳಬುಟ್ಟಿ ಎಂದು ಹೆಸರು. ಇದರ ತಳವು ಚಪ್ಪಟೆಯಾಗಿದ್ದು ಸು. ನಾಲ್ಕರಿಂದ ಎಂಟು ಇಂಚು ವ್ಯಾಸ ಹೊಂದಿರುತ್ತದೆ. ತಳದಿಂದ ಮೇಲಕ್ಕೆ ಹೋದಂತೆ ಸ್ವಲ್ಪ ಅಗಲವಾಗುತ್ತ ಸು. ಆರರಿಂದ ಹತ್ತು ಇಂಚುಗಳಷ್ಟು ವ್ಯಾಸವನ್ನು ಪಡೆಯುತ್ತದೆ. ಇದರ ಮೇಲೆ ಅಷ್ಟೇ ವ್ಯಾಸದಲ್ಲಿ ಸುಮಾರು ಒಂದು ಇಂಚು ಅಗಲ ಇದರ ಬಾಯಿಯು ನಿರ್ಮಾಣವಾಗುತ್ತದೆ. ಇದು ಬಿದಿರಿನ ಸಣ್ಣ ಸೀಳುಗಳಿಂದ ಹೆಣೆಯಲ್ಪಟ್ಟು ಗೇರೆಣ್ಣೆ/ಅಗಸಿ ಎಣ್ಣೆಯಲ್ಲಿ ಹಳೇಬಟ್ಟೆಯನ್ನು ಸುಟ್ಟ ಬೂದಿಯನ್ನು ಮಿಶ್ರಣಮಾಡಿ ಲೇಪಿತವಾಗಿರುತ್ತದೆ. ಹೀಗೆ ಲೇಪಿಸುವುದರಿಂದ ಬುಟ್ಟಿಯು ಕ್ರಿಮಿಕೀಟಗಳನ್ನು ತಡೆದುಕೊಳ್ಳುತ್ತದೆ ಮತ್ತು ಸುಂದರವಾಗಿ ಕಾಣುತ್ತದೆ. ದೀರ್ಘಕಾಲ ಬಾಳಿಕೆ ಬರುತ್ತದೆ."
ಗುಳ್ಳವ್ವನ ಬಾಗಿಲು,"ಗುಳ್ಳವ್ವ ಉತ್ತರ ಕರ್ನಾಟಕದಲ್ಲಿ ಪೂಜೆಗೊಳ್ಳುವ ಒಬ್ಬ ಜನಪದ ಸ್ತ್ರೀ ದೇವತೆ, ಸಮೃದ್ಧಿ ದೇವತೆ. ಈಕೆಯ ಪೂಜೆಯು ಆಷಾಢ ಮಾಸದಲ್ಲಿ ಆರಂಭವಾಗಿ ನಾಗರ ಪಂಚಮಿಗೆ ಮುಗಿಯುತ್ತದೆ. ಈ ತಿಂಗಳಲ್ಲಿ ನಾಲ್ಕು ವಾರಗಳ ಕಾಲ ಗುಳ್ಳವ್ವನನ್ನು ಅವಿವಾಹಿತ ಹುಡುಗಿಯರು ಆರಾಧನೆ ಮಾಡುತ್ತಾರೆ. ಮೊದಲ ವಾರ ಒಂದು ಬಾಗಿಲನ್ನು ಎರಡನೆಯ ವಾರದಲ್ಲಿ ಮತ್ತೆ ಎರಡು ಬಾಗಿಲುಗಳನ್ನುಳ್ಳ ಬಾಗಿಲನ್ನು, ಮೂರನೆ ವಾರದಲ್ಲಿ ಮೂರು ಬಾಗಿಲುಗಳುಳ್ಳ ಬಾಗಿಲನ್ನು ನಾಲ್ಕನೇ ವಾರದಲ್ಲಿ ನಾಲ್ಕು ಬಾಗಿಲುಗಳುಳ್ಳ ಬಾಗಿಲನ್ನು ಪೂಜೆ ಮಾಡುತ್ತಾರೆ. ಅಂದರೆ ನಾಲ್ಕು ವಾರಗಳಲ್ಲಿ ಒಟ್ಟು ಹತ್ತು ಬಾಗಿಲುಗಳು ಪೂಜೆಗೊಳ್ಳುತ್ತವೆ. ಈ ಪೂಜೆಯ ಉದ್ದೇಶವು ಮಳೆ-ಬೆಳೆಗಳು ಸಮೃದ್ಧವಾಗಿರಲಿ ಎನ್ನುವುದಾಗಿದೆ. ಈ ಬಾಗಿಲುಗಳಲ್ಲಿ ವ್ಯತ್ಯಾಸಗಳಿವೆ ಹಾಗೂ ವೈವಿಧಗಳಿವೆ. ವಿಭಿನ್ನ ಚಿತ್ತಾರಗಳ ರಚನೆಗಳಿವೆ. ಪೂಜಿಸುವ ಸಂದರ್ಭದಲ್ಲಿ ಹಾಡುಗಳನ್ನು ಹಾಡುವ ಸಂಪ್ರದಾಯವಿದೆ. ಗುಳ್ಳವ್ವನ ಬಾಗಿಲನ್ನು ತೇಗ ಮುಂತಾದ ಗಟ್ಟಿ ಜಾತಿಯ ಮರಗಳಿಂದ ತಯಾರಿಸುತ್ತಾರೆ."
